PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Depot
56110029,CABLE PVC INSULATED ARMOURED UNSCREENED UNDERGROUND POWER CABLE 3C X 10 SQ.MM,1986.0,315774.0,753,SSE/S/SRM/TPJ077355-S AND T-SR
569003530068,FIRE ALARM AUDIO VISUAL ALARM (HOOTER AND STROBE) WITH BACK BOX AS PER RDSO/SPN/217/2018 V....,18.0,241344.0,797,SSE/S/SRM/TPJ077355-S AND T-SR
564681510123,Supply of Double Digit Multi Lamp Route Indicator (LED Type). Specification as per Annexur....,5.0,237616.6,922,SSE/S/SRM/TPJ077355-S AND T-SR
861600990018,CONTROL MODULE ADDRESSABLE RE-717 MC,44.0,220000.0,797,SSE/S/SRM/TPJ077355-S AND T-SR
539809440023,Multi Lamp Route Indicator LED TYPE,5.0,194669.11,871,SSE/S/SRM/TPJ077355-S AND T-SR
560408110010,Digital Axle Counter spares,2.0,167560.0,1203,SSE/S/SRM/TPJ077355-S AND T-SR
567900390011,"Relay Plug-in -type, Style QNA1K 24V DC, 6F/6B Contact.",24.0,165360.0,877,SSE/S/SRM/TPJ077355-S AND T-SR
567900801023,SURGE PROTECTION DEVICE,14.0,159576.2,1249,SSE/S/SRM/TPJ077355-S AND T-SR
560408190017,Digital Axle Counter spares,4.0,125080.0,1203,SSE/S/SRM/TPJ077355-S AND T-SR
560404210071,Supply of Tools Kits and Measuring Instrument set for measuring all the track side and pro....,1.0,124000.0,880,SSE/S/SRM/TPJ077355-S AND T-SR
565094825890,Tool Kit for HASSDAC,2.0,120000.0,998,SSE/S/SRM/TPJ077355-S AND T-SR
549007661110,A TYPE FOUNDATION,21.0,115311.0,1171,SSE/S/SRM/TPJ077355-S AND T-SR
601210080042,MS ANGLE 75X75X6MM,16.0,104000.0,1207,SSE/S/SRM/TPJ077355-S AND T-SR
560603310016,ISOLATION TRANSFORMER 110/110V,48.0,96768.0,1690,SSE/S/SRM/TPJ077355-S AND T-SR
722400672758,DRILLING MACHINE HEAVY DUTY,3.0,90273.0,788,SSE/S/SRM/TPJ077355-S AND T-SR
567917400018,Supply of Display card suitable for Efftronics make Data loggers. Supplied material should....,3.0,86999.04,1034,SSE/S/SRM/TPJ077355-S AND T-SR
56020790,"- DYNAMIC HANDSET FOR BLOCK INSTRUMENT AS PER SPECIFICATION No.S&T/S.033 OF S&T WOTKSHOPS,....",28.0,84018.76,759,SSE/S/SRM/TPJ077355-S AND T-SR
567900488679,Battery Charger 230 V AC/ 24 V DV / 50 Amp.,1.0,68067.0,1165,SSE/S/SRM/TPJ077355-S AND T-SR
560600046685,RELAY RACK TO HOLD 168 RELAYS,2.0,45760.0,883,SSE/S/SRM/TPJ077355-S AND T-SR
567900080010,Relay QT2,4.0,36000.0,1802,SSE/S/SRM/TPJ077355-S AND T-SR
565101020030,Single Lever Frame (for LC gate),3.0,33124.5,1171,SSE/S/SRM/TPJ077355-S AND T-SR
466425160012,MS ROD ( 32MM),10.0,32000.0,1139,SSE/S/SRM/TPJ077355-S AND T-SR
569005090059,LHS Interface Module with EOL as per  RDSO/SPN/217/2021 Ver 3 or latest.,8.0,28800.0,797,SSE/S/SRM/TPJ077355-S AND T-SR
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatibl....",3.0,26258.73,1161,SSE/S/SRM/TPJ077355-S AND T-SR
861601030018,FIRE SURVIVAL ARMOURED CABLE,230.0,22770.0,792,SSE/S/SRM/TPJ077355-S AND T-SR
569008650064,Supply of Power supply Card suitable for M/s Efftronics make Data logger as per Spec:¿IRS:....,2.0,21999.92,766,SSE/S/SRM/TPJ077355-S AND T-SR
565094814946,Auto Change Over for inverter for static Switch,2.0,20000.0,740,SSE/S/SRM/TPJ077355-S AND T-SR
539825410078,M6 / ARA Terminal PBT (RELEASED),596.0,17880.0,1303,SSE/S/SRM/TPJ077355-S AND T-SR
600500070010,RAIL 52 KG (SH),55.0,16500.0,1671,SSE/S/SRM/TPJ077355-S AND T-SR
30057760,"HEX HEAD BOLT (M20 X 70 mm) WITH  HEX.NUT,SPRING LOCK WASHER AND SPLIT PIN TO  DRG NO.J&TD....",390.0,15990.0,1779,SSE/S/SRM/TPJ077355-S AND T-SR
509010380019,Dry cell 1.5V Heavy Duty (PRIMARY CELL- SITEL) As per IRS:S-95/96 AMDT.01 as per Spec. BSS....,20.0,12980.0,992,SSE/S/SRM/TPJ077355-S AND T-SR
472002300013,TRANSFORMERS,21.0,12600.0,932,SSE/S/SRM/TPJ077355-S AND T-SR
539823490010,CLS unit 4 ASPECT,1.0,12584.0,995,SSE/S/SRM/TPJ077355-S AND T-SR
600500040509,STOCK RAIL for SEJ 52 KG,9.0,9000.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
565172850186,Voltage Stabilizer 0.5 KVA,4.0,8000.0,1690,SSE/S/SRM/TPJ077355-S AND T-SR
569003010127,(Sch-A-3)Fire Alarm Analogue Addressable and Resetable Manual Call Point as per RDSO/SPN/2....,1.0,8000.0,1063,SSE/S/SRM/TPJ077355-S AND T-SR
570100640016,DESKTOP COMPUTER - INTEL CORE i3,1.0,8000.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
560404661871,DC DC CONVERTER,14.0,7000.0,1690,SSE/S/SRM/TPJ077355-S AND T-SR
783102110029,Rack angle iron,5.0,6000.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
560610510015,TRANSFORMER 230/110/500VA,3.0,4500.0,1077,SSE/S/SRM/TPJ077355-S AND T-SR
784600010093,IRON ALMIRAH  INDIVIDUAL EIGHT LOCKER,2.0,4000.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
56987109,CABLE PVC INSULATED ARMOURED UN SCREENED UNDER GROUND POWER CABLE OF SIZE 2C x 25sqmm ALUM....,35.0,3850.0,832,SSE/S/SRM/TPJ077355-S AND T-SR
650500080015,AIR COMPRESSOR  250 CFM,1.0,3500.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
405000060019,GI Wire,35.0,3500.0,1291,SSE/S/SRM/TPJ077355-S AND T-SR
469004980019,BT CHANNEL OF SIZES,6.0,3000.0,1292,SSE/S/SRM/TPJ077355-S AND T-SR
522001790046,DISTANCE MEASURING WHEEL (RODO METER),1.0,2740.17,1027,SSE/S/SRM/TPJ077355-S AND T-SR
560605076692,Spanner Ring Set,22.0,2530.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
902500310010,Revolving Chair,2.0,2353.63,1045,SSE/S/SRM/TPJ077355-S AND T-SR
721800040199,NOSE PLIER,39.0,2340.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
652899570013,Grinding Machine Electric 230V,2.0,2000.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
721800030080,CUTTING PLIERS 6,9.0,1800.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
727901770711,Tri Color Hand Torch Light,3.0,1740.0,1110,SSE/S/SRM/TPJ077355-S AND T-SR
745010580090,Lock Brass,17.0,1700.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
