PL_Code,Description,Current_Stock,Unit,Unit_Cost,Inventory_Value,Last_Receipt_Date,Last_Issue_Date,Days_Since_Movement,Inventory_Aging_Class,Movement_Status,Inventory_Value_Band,Depot,Operational_ABC
783101820037,Iron Almirah,7.0,Nos.,1000.0,7000.0,01-04-2025,,432,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
784600010093,IRON ALMIRAH  INDIVIDUAL EIGHT LOCKER,2.0,Nos.,2000.0,4000.0,18-10-2021,,1693,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
783000880016,ALMIRA WOODEN,6.0,Nos.,2500.0,15000.0,18-10-2021,13-02-2025,479,Very Slow Moving,Slow Moving,"Rs 10,000 - 1 Lakh",SSE/S/SRM/TPJ077355-S AND T-SR,C
10300601013,Tachometer Meter  OEM:GR Part No:105652090146 Make:NA,1.0,Nos.,500.0,500.0,18-10-2021,,1693,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
783000720013,BENCH WOODEN,1.0,Nos.,500.0,500.0,18-10-2021,,1693,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
305302300014,HEAVY DUTY DRILL BITT (HSS) SIZE 4.00 MM MAKE by: JK/ MIRINDA/I.T (Indian Tools),8.0,Nos.,12.0,96.0,18-10-2021,,1693,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
432100010029,Blower UB 1100( for cleaning panel by blowing air),1.0,Nos.,1402.43,1402.43,20-07-2023,24-02-2025,468,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
461506450019,BONDS,5.0,Nos.,20.0,100.0,18-10-2021,,1693,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
727902880019,Box Spanner,11.0,Nos.,6.0,66.0,18-10-2021,,1693,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
831500010038,BOX WOODEN OFF SIZES,0.0,Nos.,300.0,0.0,18-10-2021,,1693,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
