PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe
783101820037,Iron Almirah,Slow Moving,Very Slow Moving,7000.0,C,Operational
784600010093,IRON ALMIRAH  INDIVIDUAL EIGHT LOCKER,Dead Stock,Dead Stock,4000.0,C,Operational
783000880016,ALMIRA WOODEN,Slow Moving,Very Slow Moving,15000.0,C,Operational
10300601013,Tachometer Meter  OEM:GR Part No:105652090146 Make:NA,Dead Stock,Dead Stock,500.0,C,Operational
783000720013,BENCH WOODEN,Dead Stock,Dead Stock,500.0,C,Operational
305302300014,HEAVY DUTY DRILL BITT (HSS) SIZE 4.00 MM MAKE by: JK/ MIRINDA/I.T (Indian Tools),Dead Stock,Dead Stock,96.0,C,Operational
432100010029,Blower UB 1100( for cleaning panel by blowing air),Slow Moving,Very Slow Moving,1402.43,C,Operational
461506450019,BONDS,Dead Stock,Dead Stock,100.0,C,Operational
727902880019,Box Spanner,Dead Stock,Dead Stock,66.0,C,Operational
831500010038,BOX WOODEN OFF SIZES,Dead Stock,Dead Stock,0.0,C,Operational
831500010038,BOX WOODEN OFF SIZES,Dead Stock,Dead Stock,0.0,C,Operational
783100242897,Steel Chair,Slow Moving,Very Slow Moving,21531.25,C,Operational
508501030010,CLAMP ON METER,Slow Moving,Very Slow Moving,0.0,C,Operational
650500080015,AIR COMPRESSOR  250 CFM,Dead Stock,Dead Stock,3500.0,C,Operational
570100640016,DESKTOP COMPUTER - INTEL CORE i3,Dead Stock,Dead Stock,8000.0,C,Operational
420423880012,Hand Crimping tool (1.5-10sq mm),Dead Stock,Dead Stock,600.0,C,Operational
749001930021,IRON BARS OFF SIZE,Slow Moving,Very Slow Moving,1500.0,C,Operational
721800030080,CUTTING PLIERS 6,Dead Stock,Dead Stock,1800.0,C,Operational
508312470018,DIMMER START,Dead Stock,Dead Stock,500.0,C,Operational
432900230899,Distilled Water Plant,Dead Stock,Dead Stock,1500.0,C,Operational
722400672758,DRILLING MACHINE HEAVY DUTY,Slow Moving,Very Slow Moving,55444.86,C,Operational
722400672758,DRILLING MACHINE HEAVY DUTY,Slow Moving,Very Slow Moving,55444.86,C,Operational
722400672758,DRILLING MACHINE HEAVY DUTY,Slow Moving,Very Slow Moving,55444.86,C,Operational
409000511438,PEDASTAL FANS,Dead Stock,Dead Stock,1600.0,C,Operational
721160840011,Files different sizes and varieties.,Dead Stock,Dead Stock,0.0,C,Operational
539855720010,Generator Portable,Dead Stock,Dead Stock,1500.0,C,Operational
652899570013,Grinding Machine Electric 230V,Dead Stock,Dead Stock,2000.0,C,Operational
479007400129,HACK SAW FRAME,Dead Stock,Dead Stock,100.0,C,Operational
469029100015,HAMMER BALL PIN 0.5 KG,Dead Stock,Dead Stock,390.0,C,Operational
469029110010,HAMMER SLEDGE 7 lbs,Dead Stock,Dead Stock,220.0,C,Operational
673500020118,Hand Cart,Dead Stock,Dead Stock,700.0,C,Operational
911900290118,LADDER ALUMINIUM,Slow Moving,Very Slow Moving,1500.0,C,Operational
745010580090,Lock Brass,Dead Stock,Dead Stock,1700.0,C,Operational
729072230019,Manvetti,Slow Moving,Very Slow Moving,1320.0,C,Operational
721800040199,NOSE PLIER,Dead Stock,Dead Stock,2340.0,C,Operational
539872260016,POINT TEST GAUGE,Slow Moving,Slow Moving,3133.55,C,Operational
654800060170,LIFTING PULLING MACHINE Portable Type (Tarfar),Dead Stock,Dead Stock,500.0,C,Operational
473500354432,OIL PUMP ROTARY TYPE,Dead Stock,Dead Stock,500.0,C,Operational
783102110029,Rack angle iron,Dead Stock,Dead Stock,6000.0,C,Operational
781509360010,Rack boiler Tube 4 sleeves,Slow Moving,Very Slow Moving,4000.0,C,Operational
600500040509,STOCK RAIL for SEJ 52 KG,Dead Stock,Dead Stock,9000.0,C,Operational
783000281273,Rack wooden,Dead Stock,Dead Stock,0.0,C,Operational
727900640017,Rail Jumpers,Dead Stock,Dead Stock,200.0,C,Operational
560605631584,RELAY TESTING KIT,Active,Active,111012.0,C,Operational
753000050019,Nylon ropes. 1/2 Inch SIZES,Dead Stock,Dead Stock,500.0,C,Operational
560605360011,SCREW DRIVER -V/ SIZE,Dead Stock,Dead Stock,100.0,C,Operational
721800090282,Screw driver set (BOX),Dead Stock,Dead Stock,475.0,C,Operational
565094831178,Sealing plier,Dead Stock,Dead Stock,120.0,C,Operational
723870750402,shoval Round nose,Dead Stock,Dead Stock,50.0,C,Operational
787900404050,SICKLE,Dead Stock,Dead Stock,0.0,C,Operational
727902100014,SOLDERING IRON,Slow Moving,Very Slow Moving,100.0,C,Operational
727902129831,SPANNER ADJUSTABLE,Dead Stock,Dead Stock,60.0,C,Operational
560605111783,SPANNER DOUBLE ENDED,Dead Stock,Dead Stock,324.0,C,Operational
721429140016,SPANNER DOUBLE END SET,Dead Stock,Dead Stock,375.0,C,Operational
721801220010,SPANNER RING OF SIZES,Dead Stock,Dead Stock,276.0,C,Operational
560605076692,Spanner Ring Set,Dead Stock,Dead Stock,2530.0,C,Operational
783000550016,STOOL WOODEN,Dead Stock,Dead Stock,525.0,C,Operational
469034151893,TABLE STEEL OFF SIZE,Dead Stock,Dead Stock,900.0,C,Operational
783000630991,TABLE WOODEN  SIZES- 6x3x2.6,Slow Moving,Very Slow Moving,300.0,C,Operational
725051380318,TAPE MEASURING,Dead Stock,Dead Stock,200.0,C,Operational
429079380019,TENT 15X15,Dead Stock,Dead Stock,0.0,C,Operational
727903280012,TOOL KIT,Active,Active,18000.0,C,Operational
539855730014,Track Shunt Resistance 0.5 Ohms,Slow Moving,Slow Moving,196976.0,C,Operational
821144170019,wooden cup board (small size),Dead Stock,Dead Stock,0.0,C,Operational
469035021002,VERNIER CALIPERS 0 MM-300 MM,Dead Stock,Dead Stock,500.0,C,Operational
727900038706,Bench Vice  5,Dead Stock,Dead Stock,1500.0,C,Operational
727901391219,Platform weighing machine 1000 kg,Dead Stock,Dead Stock,1500.0,C,Operational
729072480024,Wire Striper,Dead Stock,Dead Stock,45.0,C,Operational
432500150219,Rechargeable Hand Hold LED Torch.,Active,Monitor,40990.24,C,Operational
783000253046,SOFA 3 SEATER,Dead Stock,Dead Stock,300.0,C,Operational
432500710018,LED TORCH LIGHT HEAD YPE,Slow Moving,Very Slow Moving,8772.0,C,Operational
902500310010,Revolving Chair,Dead Stock,Dead Stock,2353.63,C,Operational
902500310010,Revolving Chair,Dead Stock,Dead Stock,2353.63,C,Operational
469043980011,TABLE GLASS PLAIN  ( 8 MM THICK ),Dead Stock,Dead Stock,750.0,C,Operational
783000514553,COMPUTER TABLE -SMALL,Dead Stock,Dead Stock,500.0,C,Operational
539847920016,600 VA UPS make Numeric,Slow Moving,Very Slow Moving,0.0,C,Operational
615400010060,Ladder wooden - 6(feet),Dead Stock,Dead Stock,150.0,C,Operational
799048680148,Padlock G.I. SIZE 65MM,Dead Stock,Dead Stock,75.0,C,Operational
570102670012,Keyboard,Dead Stock,Dead Stock,200.0,C,Operational
570102670012,Keyboard,Dead Stock,Dead Stock,200.0,C,Operational
539845530016,CORDLESS MOUSE,Dead Stock,Dead Stock,75.0,C,Operational
570100216097,compuer printer  brother,Slow Moving,Slow Moving,0.0,C,Operational
570103410010,Computer monitor TFT-18.5 MAKE-HCL,Dead Stock,Dead Stock,1000.0,C,Operational
570100822428,CPU HCL make,Dead Stock,Dead Stock,1500.0,C,Operational
74495914,LOCK PAD GALUANISED WITH NON-INTER CHANGEABLE DUPLICATE KEYS 4 LEVER STAMPED WITH RLYS INI....,Active,Monitor,2887.65,C,Operational
