PL_Code,Description,Criticality,Inventory_Status,Movement_Status,Inventory_Action,Inventory_Value,Source_Universe
10100241011,"PLUNGER,GOVERNOR SPRING OEM:CU Part No:70820 Make:NA",,,Dead Stock,Dispose,28.0,Operational
10300601013,Tachometer Meter  OEM:GR Part No:105652090146 Make:NA,,,Dead Stock,Dispose,500.0,Operational
185100110017,PVC PIPE 25MM DIA EACH 3METERS LENGTH,,,Slow Moving,Rationalize,0.0,Operational
232600120016,DC-DC CONVERTER,,,Slow Moving,Rationalize,0.0,Operational
237900070815,Indicative Type Surge Protection Device Class D Device For 24 DC Type .,,,Slow Moving,Rationalize,33800.0,Operational
237900070815,Indicative Type Surge Protection Device Class D Device For 24 DC Type .,,,Active,Retain,0.0,Operational
237900070815,Indicative Type Surge Protection Device Class D Device For 24 DC Type .,,,Active,Retain,0.0,Operational
29610151,Fire detection unit mother board type-E537-AD2L.,,,Active,Retain,28000.0,Operational
30057760,"HEX HEAD BOLT (M20 X 70 mm) WITH  HEX.NUT,SPRING LOCK WASHER AND SPLIT PIN TO  DRG NO.J&TD....",,,Dead Stock,Dispose,15990.0,Operational
305302300014,HEAVY DUTY DRILL BITT (HSS) SIZE 4.00 MM MAKE by: JK/ MIRINDA/I.T (Indian Tools),,,Dead Stock,Dispose,96.0,Operational
305702430016,"Petroleum jelly, colour -White applicable for battery terminal",,,Slow Moving,Rationalize,0.0,Operational
331200520110,ROTARY KEY Transmission (RKT),,,Dead Stock,Dispose,0.0,Operational
331200520844,ROTARY KEY Transmission (RKT),,,Active,Retain,2885707.99,Operational
356100660055,YELLOW LED MAIN ASPECT,,,Slow Moving,Rationalize,0.0,Operational
390300140025,". ASTRONOMICAL TIMER SWITCH FOR STREET LIGHT CONTROL SINGLE PHASE, 10KW/73A, 230V50HZ, IP ....",,,Dead Stock,Dispose,0.0,Operational
40053982,"FLEXIBLE CORDS WITH COPPER CONDUCTOR FOR VOLTAGE UPTO AND INCLUDING 1100 VOLTS, TWIN CORE ....",,,Slow Moving,Rationalize,0.0,Operational
40070359,Wire coil 3/0 75 mm,S4,Procurement Required,,Monitor,0.0,Strategic
40071110,CABLE 3/0.75mm SINGLE CORE PVC INSULATED UNARMOURED RAILWAY SIGNALLING CABLE COMPRISING OF....,,,Dead Stock,Dispose,0.0,Operational
