PL_Code,Description,Business_Unit,Strategic_Stock,Allocation_Source,Source_Depot_Column
56509959,Cable 12 C x 1.5 Sq.mm,TPJ,982.0,Depot_Column_Allocation,GSD/GOC
56501006,Cable 24 C x 1.5 Sq.mm,TPJ,451.0,Depot_Column_Allocation,GSD/GOC
56119537,Cable 2 C x 2.5 sq.mm,TPJ,1795.0,Depot_Column_Allocation,GSD/GOC
56501018,Cable 30 C x 1.5 Sq.mm,TPJ,500.0,Depot_Column_Allocation,GSD/GOC
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,TPJ,1546.0,Depot_Column_Allocation,GSD/GOC
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,TPJ,56.0,Depot_Column_Allocation,GSD/GOC
56507641,Channel Bond Pin,TPJ,28567.0,Depot_Column_Allocation,GSD/GOC
50231832/50231881,Telephone Electronic Push Button,TPJ,87.0,Depot_Column_Allocation,GSD/GOC
50231959,Telephone Electronic Push Button   main - Extn .1+1,TPJ,34.0,Depot_Column_Allocation,GSD/GOC
50232356/50232319,Magneto telephone,TPJ,161.0,Depot_Column_Allocation,GSD/GOC
91150401,SOLDER CORE RESIN FILLED (Kgs.),TPJ,15.5,Depot_Column_Allocation,GSD/GOC
41095066,PVC Insulation TAPE (Mtrs),TPJ,4090.0,Depot_Column_Allocation,GSD/GOC
