Location_ID,Facility_Type,Inventory_Value,Operational_ABC,Inventory_Action
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,250.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,235948.83,B,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,814.37,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,87075.54,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,87075.54,C,Monitor
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,87075.54,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,87075.54,C,Monitor
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,396025.13,B,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,882.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,A,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,A,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,7820.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,1741304.82,A,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,1741304.82,A,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,1741304.82,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,1741304.82,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,720.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,53300.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,1300.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,21120.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,21120.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,21120.0,A,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,21120.0,A,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,525.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,31669.58,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,31669.58,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,31669.58,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,31669.58,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,137275.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,394.19,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,443.66,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,6355.8,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,120.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,924000.0,A,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,1200.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,5670.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,3770.1,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,77644.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,77644.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,77644.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,77644.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,14850.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,117800.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,1000.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,2000.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,4841.17,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,4841.17,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,4841.17,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,4841.17,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,2750.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,2750.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,649775.0,B,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,649775.0,B,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,649775.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,649775.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,61200.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,10525.48,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,17216.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,B,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,B,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,96000.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,26000.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,54028.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,54028.0,C,Rationalize
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,54028.0,C,Retain
DEP-SSE-SRM-TVC057253-S-AND-T-SR,Depot,54028.0,C,Rationalize
