PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
721801050012,CUTTING PLIER 8,Dead Stock,Dead Stock,250.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
72207413,DRILL TWIST 7.2 MM .,Active,Active,235948.83,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
727900774137,WIRE BOND  1.5  METER,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
727900774137,WIRE BOND  1.5  METER,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
91110191,SEALING LEAD,Slow Moving,Slow Moving,814.37,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56507641,CHANNEL BOND PIN,Active,Active,87075.54,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56507641,CHANNEL BOND PIN,Active,Active,87075.54,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
565198791367,EKT/RKT,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
569000130018,RKT DRUM,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
569070440021,Three point safety Nut with bolt and socket for ground connection 220mm stroke,Active,Active,396025.13,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56300013,COVER ASSEMBLY FOR ELECTRIC  POINT MACHINE,Active,Monitor,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563000670019,SPRING TENSION ADJUSTOR FOR DLBI,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563000680013,SPECIAL SPANNER FOR ELECTRIC POINT MACHINE (LOCK ROD),Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563002010011,SPRING TENSION ADJUSTOR FOR DLBI,Slow Moving,Slow Moving,882.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
