PL_Code,Description,Inventory_Action,Normalized_Inventory_Value,Movement_Status,Source_Universe,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
331200520110,ROTARY KEY Transmission (RKT),Retain,484832.5,Active,Operational,484832.5,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
40070359,Wire coil 3/0 75 mm,Monitor,0.0,,Strategic,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
400785680012,PVC COPPER CABLE SINGLE CORE UNSHEATHED CABLE ( ONE COIL 100 MTRS),Dispose,9204.0,Dead Stock,Operational,9204.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
400900850016,WIRE COIL PVC 16/0.2 MM,Retain,21358.86,Active,Operational,21358.86,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
400900850016,WIRE PVC 16/0.2 MM,Retain,16024.4,Active,Operational,16024.4,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
400909210012,cable 3 C x 2.5 sqmm,Rationalize,203000.0,Slow Moving,Operational,203000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
401107521160,CAT6 STP Cable,Rationalize,21350.0,Slow Moving,Operational,21350.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
403300300014,WIRE COIL 3/ 0.75  SQMM,Rationalize,122833.87,Slow Moving,Operational,122833.87,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
403300300014,WIRE COIL 3/ 0.75  SQMM,Rationalize,39034.4,Slow Moving,Operational,39034.4,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
409001931903,20 PAIR CT BOX,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
409002550010,WIRE  COIL  16/0.2 MM.(PVC),Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
409002560015,WIRE COIL  3/20 (3 /0.75 mm)(PVC),Retain,139327.09,Active,Operational,139327.09,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
