Rank,PL_Code,Description,Inventory_Value,ABC_Class,Criticality
1,56987122/56110029,Cable 3 C x 10 sq.mm,496466120.0,C,S1
2,56119033,Cable 19 C x 1.5 sq.mm,80522492.0,C,S1
3,50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,14847078.4,A,S2
4,50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,9755776.0,A,S2
5,56509959,Cable 12 C x 1.5 Sq.mm,9145084.48,A,S1
6,56468039,LED Red aspect with accessories,8390059.6,A,S1
7,56501018,Cable 30 C x 1.5 Sq.mm,8223868.72,A,S1
8,56468052,LED Yellow aspect with accessories,5628996.48,A,S1
9,56468040,LED Green Aspect with accessories,4798767.36,A,S1
10,56119537,Cable 2 C x 2.5 sq.mm,4207173.57,B1,S1
