PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
561300051261,UFSBI Deltron make,3.0,3150000.0,1111,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
567904138020,SMPS Based IPS for LC Gate,1.0,1082146.75,754,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
549007230018,GROUND LEVER 1 WAY,77.0,924000.0,1320,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560406280015,AXLE COUNTER TRANSMITTER COIL ( GG MAKE),20.0,692000.0,1754,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
565100240010,EARTH ENHANCEMENT COMPOUND SET (25 kg+10 kg),256.0,659200.0,1063,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
539802164075,CABLE MARKERS IRON TYPE(SIGNAL),3713.0,649775.0,1411,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560401060013,FRAUSCHER - AEB CARD,30.0,600000.0,864,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
541002400010,POINT ROD SIZE 1  1/4 ''   X  18' LONG WITH  END COUPLING,167.0,519332.2,904,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
569003570030,FIRE ALARM UV/IR FLAME DETECTOR AS PER RDSO/SPN/217/2018/Ver - 2,5.0,346500.0,1529,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
561195950013,CABLE 50 PAIR JELLY FILLED.,1526.0,321986.0,1331,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
564800630015,AVR 2 KVA (AMARA RAJA IPS),3.0,265500.0,1319,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
549008680019,TERMINAL BOARD 50 WAY,109.0,259420.0,1753,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
561302490016,FM TX 1800 HZ,10.0,253700.0,1683,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
565100250014,GI PIPE FOR EARTHING 2.5 Mtrs LONG,256.0,250880.0,1063,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
564800650014,AVR 1.5 KVA (AMARA RAJA IPS),3.0,247800.0,1293,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
564601260017,PROCESSOR CARD SUITABLE FOR EFFTRONICS MAKE DATALOGGERS,5.0,235410.0,881,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560406410014,AXLE COUNTER  RESET BOX  GG  MAKE,5.0,196470.0,1683,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560608590015,INSULATION BACKING PLATE NYLON 90R.,2630.0,184100.0,1823,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560411170010,Reset Card for Reset Box for GG Tronics Make HASSDAC,5.0,175436.5,1019,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
567912550075,FIRE ALARM RESETTABLE TYPE ANALOGUE LHS CABLE AS PER RDSO/SPN/217/2018-VER 2.0,200.0,168000.0,1060,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
569003030035,FIRE ALARM FIRE SURVIVAL INTERGRITY CABLE 2CX1.5SQMM ARMORED AS PER RDSO/SPN/217/2018 VER ....,1180.0,158592.0,999,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
544100190018,CLS POST 2.5 Mtrs,54.0,151092.0,1314,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560406400010,AXLE COUNTER MICRO LOGICAL CARD 2 CEL MAKE ( MLB -2),4.0,148000.0,1752,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
