PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
56501006,CABLE 24 CX 1.5 SQMM,28351.0,12616195.0,45,Active,SSE/SRM/TVC057253-S AND T-SR
56501018,CABLE 30 C X 1.5 SQ.MM,14949.0,8192052.0,45,Active,SSE/SRM/TVC057253-S AND T-SR
561195900010,CABLE 6 QUAD JELLY FILLED.,24461.0,8176190.0,120,Monitor,SSE/SRM/TVC057253-S AND T-SR
56509959,CABLE PVC 12 CX 1.5 SQMM,29676.0,7227797.53,125,Monitor,SSE/SRM/TVC057253-S AND T-SR
561195900010,CABLE 6 QUAD JELLY FILLED.,21949.0,7163451.23,11,Active,SSE/SRM/TVC057253-S AND T-SR
560631570013,RS232 serial communication to optical fiber media converter,68.0,6256000.0,429,Very Slow Moving,SSE/SRM/TVC057253-S AND T-SR
570193490012,VDU 85 WITH EMBEDDED PC AND POWER SUPLY ARRANGEMENTS,3.0,4973988.0,137,Monitor,SSE/SRM/TVC057253-S AND T-SR
56501018,CABLE PVC 30 CX 1.5 SQMM,8616.0,4875630.7,165,Monitor,SSE/SRM/TVC057253-S AND T-SR
560411020012,HASSDAC EQUIPMENT GG TRONICS MAKE,8.0,4724890.34,467,Very Slow Moving,SSE/SRM/TVC057253-S AND T-SR
560412490012,SK 30H DOUBLE RAIL CONTACT WITH 5.5 MTRS CABLE FOR ELDYNE MAKE MSDAC,20.0,4461728.68,136,Monitor,SSE/SRM/TVC057253-S AND T-SR
561196620010,CABLE PVC 19 C X 1.5  SQMM,12948.0,4330238.48,125,Monitor,SSE/SRM/TVC057253-S AND T-SR
561300051261,UFSBI Deltron make,3.0,3150000.0,1111,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
56509959,Cable 12 C  X  1.5 sqmm,11385.0,2817710.08,262,Slow Moving,SSE/SRM/TVC057253-S AND T-SR
570193480018,VDU 75 WITH EMBEDDED PC AND POWER SUPLY ARRANGEMENTS,2.0,2594170.0,137,Monitor,SSE/SRM/TVC057253-S AND T-SR
563045831119,IRS Point machine 220 mm,25.0,2532744.88,5,Active,SSE/SRM/TVC057253-S AND T-SR
560412710012,SK 30H DOUBLE RAIL CONTACT WITH 4.0 MTRS CABLE FOR ELDYNE MAKE MSDAC,12.0,2492091.56,165,Monitor,SSE/SRM/TVC057253-S AND T-SR
56508116,RELAY QN1 8F/8B WITH ACCESSORIES.,290.0,2151882.07,11,Active,SSE/SRM/TVC057253-S AND T-SR
567907020018,Relay QNA1K,182.0,2095014.38,16,Active,SSE/SRM/TVC057253-S AND T-SR
56501018,CABLE 30 C x 1.5 sqmm,3346.0,1981131.94,174,Monitor,SSE/SRM/TVC057253-S AND T-SR
570193670014,DUAL VDU 55 INCH WITH EMBEDDED PC AND POWER SUPPLY ARRANGEMENTS,1.0,1783007.0,45,Active,SSE/SRM/TVC057253-S AND T-SR
56301704,POINT MACHINE ROD (GROUND CONNECTION),85.0,1741304.82,638,Very Slow Moving,SSE/SRM/TVC057253-S AND T-SR
560420360018,WHEEL SENSOR BASE CLAMP TYPE (15 Mtrs) FOR GG TRONICS MAKE MSDAC,17.0,1705100.0,5,Active,SSE/SRM/TVC057253-S AND T-SR
569800680037,Analog Card (AzLM) for Eldyne make Axle counter MSDAC,10.0,1683470.6,270,Slow Moving,SSE/SRM/TVC057253-S AND T-SR
56500415,RELAY POLARISED 3 POSITION,30.0,1513709.1,16,Active,SSE/SRM/TVC057253-S AND T-SR
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH,333.0,1470272.41,3,Active,SSE/SRM/TVC057253-S AND T-SR
56110029,CABLE PVC  3C X 10 SQ.MM,15232.0,1449157.25,165,Monitor,SSE/SRM/TVC057253-S AND T-SR
56450217,RELAYS QSPAI,126.0,1262029.99,390,Very Slow Moving,SSE/SRM/TVC057253-S AND T-SR
