PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
79513645,TAPE COTTON WHITE 6 MM WIDE FOR SEALING WAGONS,0.0,0.0,1726,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
520502630017,E1 CONVERTER,0.0,0.0,1700,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
555500150011,GOODS WARNING BOARD ORDINARY TYPE,0.0,0.0,1670,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
861601040012,BATTERY 12 V/7 AH FOR FIRE ALARM SYSTEM,0.0,0.0,1635,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
861601030018,FIRE SURVIVAL ARMOURED CABLE,0.0,0.0,1635,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
541100400016,RELAY RACK -3 WAY ( SIEMENS),0.0,0.0,1632,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560611360013,FUSE BLOCK PBT (ON CT RACK),0.0,0.0,1630,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560611380012,50 WAY TERMINAL ( ON RELAY RACK),0.0,0.0,1630,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
541100390011,CT RACK ( WITH TERMINALS),0.0,0.0,1630,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560611390017,TAG BLOCK (ON RELAY RACK),0.0,0.0,1630,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
541002440019,RELAY RACK (WITH JACK),0.0,0.0,1630,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560611370018,RELAY JACK (ON RELAY RACK),0.0,0.0,1630,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560611350019,60 MM TERMINALS (ON CT RACK),0.0,0.0,1629,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560607020010,SPD D TYPE 110V AC/DC,0.0,0.0,1613,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560406760013,CEL MAKE RESET BOX 710 P,0.0,0.0,1602,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560406720015,CEL  MAKE  AXLE COUNTER WITH ALL CARDS 710 A,0.0,0.0,1600,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
45174404,HYDROMETER COMPLETE SET,0.0,0.0,1571,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
520505320015,UHF DIGITAL WALKIE TALKIE,0.0,0.0,1562,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
470202020014,DIESEL GENERATOR 15 KVA,0.0,0.0,1556,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
539812930017,Panel push switch White /Red( WITHOUT CONTACT),0.0,0.0,1541,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
83903112,"PINS IN PACKETS OF 25 GMS, PLATED 2.5 CM LONG IS.5653/88 TO CSO/VOC NO. M.046.",0.0,0.0,1530,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
521566950010,ALL IN ONE DESKTOP COMPUTER,0.0,0.0,1525,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
727902100014,SOLDERING IRON,0.0,0.0,1517,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
560406750019,CEL MAKE AXLE COUNTER WITH ALL CARDS 710 P,0.0,0.0,1495,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
569895450016,EARTHING AND BONDING SYSTEM FOR SIGNALLING EQUIPMENTS.Supply of following items .(Copper b....,0.0,0.0,1486,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
83049540,TNPL 80 GSM XEROX SHEETS SIZE A4 (297 X 210 MM)(PLAIN ),0.0,0.0,1482,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
569894970016,RELAY PLUG BOARD FOR QNAI  8F/8 B,0.0,0.0,1459,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
67900185,AUTO BATTERY 12 V/ 75 AH,0.0,0.0,1459,Dead Stock,SSE/SRM/TVC057253-S AND T-SR
