PL_Code,Description,Current_Stock,Unit,Unit_Cost,Inventory_Value,Last_Receipt_Date,Last_Issue_Date,Days_Since_Movement,Inventory_Aging_Class,Movement_Status,Inventory_Value_Band,Depot,Operational_ABC
721801050012,CUTTING PLIER 8,2.0,Nos.,125.0,250.0,26-02-2021,,1927,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
72207413,DRILL TWIST 7.2 MM .,3775.0,Nos.,62.5,235948.83,27-02-2026,22-05-2026,16,Active,Active,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,B
727900774137,WIRE BOND  1.5  METER,0.0,Nos.,503.24,0.0,26-03-2025,08-05-2026,30,Active,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
91110191,SEALING LEAD,2.8,Kgs.,290.85,814.37,01-12-2025,11-08-2023,188,Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
56507641,CHANNEL BOND PIN,51372.0,Nos.,1.7,87075.54,01-12-2025,22-05-2026,16,Active,Active,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
565198791367,EKT/RKT,0.0,Nos.,7010.86,0.0,25-10-2025,08-05-2026,30,Active,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
569000130018,RKT DRUM,0.0,Nos.,345.0,0.0,20-08-2021,28-09-2022,1348,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
569070440021,Three point safety Nut with bolt and socket for ground connection 220mm stroke,24.0,Set,16501.05,396025.13,14-05-2026,02-06-2026,5,Active,Active,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,B
56300013,COVER ASSEMBLY FOR ELECTRIC  POINT MACHINE,0.0,Set,3872.6,0.0,14-02-2025,07-02-2026,120,Monitor,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
563000670019,SPRING TENSION ADJUSTOR FOR DLBI,0.0,Nos.,2522.0,0.0,12-10-2022,14-11-2022,1301,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
563000680013,SPECIAL SPANNER FOR ELECTRIC POINT MACHINE (LOCK ROD),0.0,Nos.,6667.0,0.0,12-10-2022,14-11-2022,1301,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
563002010011,SPRING TENSION ADJUSTOR FOR DLBI,3.0,Nos.,294.0,882.0,12-01-2024,24-06-2025,348,Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
563002020016,SPECIAL SPANNER FOR ELECTRIC POINT MACHINE (LOCK ROD),0.0,Nos.,258.0,0.0,12-01-2024,24-06-2025,348,Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
563002850013,GROUND CONNECTION FOR 220MM POINT MACHINE,0.0,Set,44326.0,0.0,09-01-2026,09-01-2026,149,Monitor,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
563003650019,TWS COVER FOR SWITCH EXTENSION BRACKET WITH COMPLETE SET,2.0,Set,3910.0,7820.0,25-06-2025,24-11-2025,195,Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
56301704,POINT MACHINE ROD (GROUND CONNECTION),85.0,Set,20485.94,1741304.82,17-02-2024,07-09-2024,638,Very Slow Moving,Slow Moving,Rs 10 Lakh - 1 Crore,SSE/SRM/TVC057253-S AND T-SR,A
