PL_Code,Description,ABC_Class,Criticality,Criticality_Weight,Forecast_2026_27,Target_Service_Level,Z_Value,Lead_Time_Months,Lead_Time_Source,Demand_Sigma,Safety_Stock,Expected_Demand_During_LT,ROP,Current_Stock,Inventory_Gap,Inventory_Status,Inventory_Investment_Required,Procurement_Priority_Score,Procurement_Priority_Class,Recommended_Min,Recommended_Max,Recommended_Reorder_Level,Service_Factor,Lead_Time_Factor,Demand_Factor,Positive_Gap,Service_Risk_Reduction_Score,Service_Risk_Priority_Class,SRRS_Rank,SRRS_Per_Rupee,Funding_Driver,Potential_Unit_Mismatch,Normalized_Unit_Cost,Normalized_Investment_Required,Normalized_Procurement_Priority_Score,Normalized_Procurement_Priority_Class
56119033,Cable 19 C x 1.5 sq.mm,C,S1,10,10214.28,0.9,1.2816,12.0,Tier1_PendingSupply,1224.471,5435.95,10214.28,15650.23,236.0,15414.23,Procurement Required,5259287738.11,52592877381.08,Immediate,15650,25865,15650,1.0,1.0,2.344,15414.23,154142.3,High,10,2.9e-05,Gap,Yes,341.2,5259289.03,52592890.33,High
56987122/56110029,Cable 3 C x 10 sq.mm,C,S1,10,2277.56,0.9,1.2816,12.0,Tier1_PendingSupply,1977.716,8779.92,2277.56,11057.48,3988.0,7069.48,Procurement Required,880079845.61,8800798456.1,Immediate,11057,13335,11057,1.0,1.0,1.1317,7069.48,70694.8,High,14,8e-05,Gap,Yes,124.49,880079.57,8800795.65,Medium
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,A,S2,5,4135.36,0.98,2.0537,12.0,Tier1_PendingSupply,1683.625,11977.97,4135.36,16113.33,1532.0,14581.33,Procurement Required,92853910.08,464269550.41,Immediate,16113,20249,16113,2.6,1.0,1.5717,14581.33,189557.29,High,8,0.002041,Gap,No,6368.0,92853909.44,464269547.2,Immediate
56509960,Cable 2 C x 25 sq.mm,C,S1,10,21631.94,0.9,1.2816,12.0,Tier1_PendingSupply,3927.793,17437.14,21631.94,39069.08,9.06,39060.02,Procurement Required,45860374.07,458603740.75,Immediate,39069,60701,39069,1.0,1.0,3.0424,39060.02,390600.2,Immediate,5,0.008517,Gap,No,1174.1,45860369.48,458603694.82,Immediate
56501018,Cable 30 C x 1.5 Sq.mm,A,S1,10,28364.23,0.99,2.3263,6.0,Tier1_PendingSupply,10252.823,58424.33,14182.11,72606.45,14152.0,58454.45,Procurement Required,33968463.83,339684638.27,Immediate,72606,100971,72606,2.8,0.5,3.302,58454.45,1636724.6,Immediate,3,0.048184,Gap,No,581.11,33968465.44,339684654.4,Immediate
56509959,Cable 12 C x 1.5 Sq.mm,A,S1,10,66258.84,0.99,2.3263,8.419,Tier1_PendingSupply,18419.474,124332.12,46486.36,170818.49,38752.0,132066.49,Procurement Required,31166369.89,311663698.85,Immediate,170818,237077,170818,2.8,0.7016,4.1291,132066.49,3697861.72,Immediate,1,0.118649,Gap,No,235.99,31166370.98,311663709.75,Immediate
56468039,LED Red aspect with accessories,A,S1,10,1556.04,0.99,2.3263,12.0,Tier1_PendingSupply,355.444,2864.42,1556.04,4420.46,943.0,3477.46,Procurement Required,30939670.21,309396702.08,High,4420,5977,4420,2.8,1.0,0.8901,3477.46,97368.88,High,11,0.003147,Gap,No,8897.2,30939657.11,309396571.12,Immediate
56468052,LED Yellow aspect with accessories,A,S1,10,1500.82,0.99,2.3263,12.0,Tier1_PendingSupply,280.893,2263.63,1500.82,3764.45,632.0,3132.45,Procurement Required,27899616.92,278996169.22,High,3764,5265,3764,2.8,1.0,0.869,3132.45,87708.6,High,12,0.003144,Criticality,No,8906.64,27899604.47,278996044.68,Immediate
56468040,LED Green Aspect with accessories,A,S1,10,1287.44,0.99,2.3263,12.0,Tier1_PendingSupply,211.703,1706.05,1287.44,2993.49,472.0,2521.49,Procurement Required,25635676.75,256356767.55,High,2993,4281,2993,2.8,1.0,0.7828,2521.49,70601.72,High,15,0.002754,Criticality,No,10166.88,25635686.25,256356862.51,High
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,A,S2,5,7197.9,0.98,2.0537,12.0,Tier1_PendingSupply,1633.503,11621.39,7197.9,18819.29,4304.0,14515.29,Procurement Required,50071933.54,250359667.69,High,18819,26017,18819,2.6,1.0,2.0334,14515.29,188698.77,High,9,0.003769,Gap,No,3449.6,50071944.38,250359721.92,High
56501006,Cable 24 C x 1.5 Sq.mm,A,S1,10,38250.32,0.99,2.3263,12.0,Tier1_PendingSupply,2717.08,21896.15,38250.32,60146.47,6942.0,53204.47,Procurement Required,23919665.61,239196656.11,High,60146,98397,60146,2.8,1.0,3.5914,53204.47,1489725.16,Immediate,4,0.06228,Gap,No,449.58,23919665.62,239196656.23,High
50232356/50232319,Magneto telephone,A,S2,5,1769.51,0.98,2.0537,9.325,Tier1_PendingSupply,756.603,4745.04,1375.06,6120.1,114.0,6006.1,Procurement Required,31512789.67,157563948.33,High,6120,7890,6120,2.6,0.7771,0.9679,6006.1,78079.3,High,13,0.002478,Gap,No,5246.8,31512805.48,157564027.4,High
