PL_Code,Description,Criticality,Inventory_Status,Movement_Status,Inventory_Action,Inventory_Value,Source_Universe
331200520110,ROTARY KEY Transmission (RKT),,,Active,Retain,484832.5,Operational
40070359,Wire coil 3/0 75 mm,S4,Procurement Required,,Monitor,0.0,Strategic
400785680012,PVC COPPER CABLE SINGLE CORE UNSHEATHED CABLE ( ONE COIL 100 MTRS),,,Dead Stock,Dispose,9204.0,Operational
400900850016,WIRE COIL PVC 16/0.2 MM,,,Active,Retain,21358.86,Operational
400900850016,WIRE PVC 16/0.2 MM,,,Active,Retain,16024.4,Operational
400909210012,cable 3 C x 2.5 sqmm,,,Slow Moving,Rationalize,203000.0,Operational
401107521160,CAT6 STP Cable,,,Slow Moving,Rationalize,21350.0,Operational
403300300014,WIRE COIL 3/ 0.75  SQMM,,,Slow Moving,Rationalize,122833.87,Operational
403300300014,WIRE COIL 3/ 0.75  SQMM,,,Slow Moving,Rationalize,39034.4,Operational
409001931903,20 PAIR CT BOX,,,Dead Stock,Dispose,0.0,Operational
409002550010,WIRE  COIL  16/0.2 MM.(PVC),,,Slow Moving,Rationalize,0.0,Operational
409002560015,WIRE COIL  3/20 (3 /0.75 mm)(PVC),,,Active,Retain,139327.09,Operational
40981381,Wire coil PVC 16/0.2 mm,S3,Procurement Required,,Monitor,0.0,Strategic
41095066,PVC Insulation TAPE (Mtrs),S4,Procurement Required,,Monitor,0.0,Strategic
430100570013,DIGITAL CLAMP METER (mA Range),,,Dead Stock,Dispose,0.0,Operational
430100570013,DIGITAL CLAMP METER (mA Range),,,Slow Moving,Rationalize,0.0,Operational
430503440016,EARTH TESTER ( ANALOG),,,Dead Stock,Dispose,9430.56,Operational
430512780011,DIGITAL CLAMP ON EARTH TESTER,,,Dead Stock,Dispose,63720.0,Operational
430512780011,DIGITAL CLAMP ON EARTH TESTER,,,Slow Moving,Rationalize,297360.0,Operational
439000014261,TABLE FOR COMPUTER USE.,,,Active,Retain,19632.0,Operational
45170149,"12V, 7AH  sealed maintenance free lead acid battery",,,Dead Stock,Dispose,2461.44,Operational
45174404,HYDROMETER COMPLETE SET,,,Dead Stock,Dispose,0.0,Operational
45174404/45174416,Hydro meter complete set,S3,Procurement Required,,Monitor,74690.72,Strategic
45174416,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FRO....,,,Active,Retain,18123.92,Operational
464219450018,RF2 CHANNEL SET,,,Dead Stock,Dispose,500.0,Operational
465508680036,Scrap Cu catenary wire 65 sq mm Released,,,Slow Moving,Rationalize,0.0,Operational
469028758610,TELESCOPIC ALUMINIUM LADDER,,,Dead Stock,Dispose,12272.0,Operational
469030127719,PORTABLE EMERGENCY LIGHTING SYSTEM WITH  INFLATABLE BALLON AND ACCESSORIES,,,Slow Moving,Rationalize,0.0,Operational
469030130949,LED BASED TRI COLOUR TORCH,,,Dead Stock,Dispose,6000.0,Operational
469030611009,BIT DRILL TWIST 16 MM,,,Dead Stock,Dispose,730.0,Operational
469031300012,GREASE GUN,,,Dead Stock,Dispose,4000.0,Operational
469034671001,CLOCK WALL TYPE,,,Dead Stock,Dispose,150.0,Operational
469064280014,GOODS WARNING FRP SIGHTING BOARD WITH ANGLE,,,Slow Moving,Rationalize,0.0,Operational
469064280014,GOODS WARNING FRP SIGHTING BOARD WITH ANGLE,,,Slow Moving,Rationalize,18064.2,Operational
469064350016,INVERTER 110/110/3 KVA,,,Slow Moving,Rationalize,0.0,Operational
469064370015,DP DT SWITCH,,,Dead Stock,Dispose,150.0,Operational
469077270016,BLOCK INSTRUMENT FM TYPE,,,Active,Retain,0.0,Operational
469077280010,BLOCK INSTRUMENT D/L SGE,,,Dead Stock,Dispose,0.0,Operational
470202020014,DIESEL GENERATOR 15 KVA,,,Dead Stock,Dispose,0.0,Operational
47200054/47200250,Transformer 230/110V  - 1 KVA,S3,Procurement Required,,Monitor,13095.64,Strategic
47200250,TRANSFORMERS 230/110V 1 KVA,,,Active,Retain,23599.68,Operational
