PL_Code,Description,Business_Unit,Strategic_Stock,Allocation_Source,Source_Depot_Column
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,TVC,1575.0,Depot_Column_Allocation,DSD/QLN
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,TVC,6.0,Depot_Column_Allocation,DSD/QLN
56507641,Channel Bond Pin,TVC,18850.0,Depot_Column_Allocation,DSD/QLN
50360693/50370110,4 wire way station control telephone RDSO/SPN IRS.TC.38/97 with latest amendment,TVC,81.0,Depot_Column_Allocation,DSD/QLN
50353603,Portable 4 wire Emergency Control Telephone with six pin flat type socket,TVC,54.0,Depot_Column_Allocation,DSD/QLN
50231832/50231881,Telephone Electronic Push Button,TVC,47.0,Depot_Column_Allocation,DSD/QLN
50231959,Telephone Electronic Push Button   main - Extn .1+1,TVC,4.0,Depot_Column_Allocation,DSD/QLN
50232356/50232319,Magneto telephone,TVC,173.0,Depot_Column_Allocation,DSD/QLN
91150401,SOLDER CORE RESIN FILLED (Kgs.),TVC,13.5,Depot_Column_Allocation,DSD/QLN
41095066,PVC Insulation TAPE (Mtrs),TVC,9940.0,Depot_Column_Allocation,DSD/QLN
