PL_Code,Description,ABC_Class,Criticality,Unit_Cost,Forecast_2026_27,Target_Service_Level,Demand_Class,Forecast_Confidence,Inventory_Status,Procurement_Priority_Class
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,A,S2,3449.6,7197.9,0.98,Smooth,High,Procurement Required,High
56501018,Cable 30 C x 1.5 Sq.mm,A,S1,581.11,28364.23,0.99,Smooth,Medium,Procurement Required,Immediate
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,A,S2,6368.0,4135.36,0.98,Smooth,Medium,Procurement Required,Immediate
56509959,Cable 12 C x 1.5 Sq.mm,A,S1,235.99,66258.84,0.99,Erratic,Low,Procurement Required,Immediate
56468039,LED Red aspect with accessories,A,S1,8897.2,1556.04,0.99,Smooth,High,Procurement Required,High
56468052,LED Yellow aspect with accessories,A,S1,8906.64,1500.82,0.99,Smooth,High,Procurement Required,High
56468040,LED Green Aspect with accessories,A,S1,10166.88,1287.44,0.99,Smooth,High,Procurement Required,High
50232356/50232319,Magneto telephone,A,S2,5246.8,1769.51,0.98,Smooth,High,Procurement Required,High
56501006,Cable 24 C x 1.5 Sq.mm,A,S1,449.58,38250.32,0.99,Smooth,High,Procurement Required,High
56119537,Cable 2 C x 2.5 sq.mm,B1,S1,96.63,59866.54,0.97,Erratic,Low,Procurement Required,High
56450217,Relay AC Immune Plug in type style-QSPA1,B1,S3,5243.92,1138.35,0.9,Smooth,High,Procurement Required,Medium
56468027,Route LED Signal lightning unit 100 V AC,B1,S1,5967.2,1477.05,0.97,Smooth,High,Procurement Required,High
56462050,AC Shunt Signal LED with in built current regulator,B1,S1,5711.2,1271.87,0.97,Smooth,High,Procurement Required,High
50541523,Lead Acid Stationary Secondary Cells  - 2V/120 AH,B2,S2,4497.92,970.46,0.95,Smooth,High,Procurement Required,High
56450229,Relay AC Immune Plug in type style-QTA2,B2,S3,2356.46,1581.69,0.9,Smooth,High,Procurement Required,Medium
52156576/56500452,Battery charger 230V AC 110V DC 30A,B2,S2,59590.0,45.37,0.95,Intermittent,Medium,Procurement Required,Medium
56468064,Calling on LED Signal lightning unit 100 V AC,B2,S1,6846.36,594.46,0.9,Smooth,High,Procurement Required,High
50370080,4 Wire DTMP Way Station Equipment,B2,S3,2891.0,632.39,0.9,Smooth,Medium,Procurement Required,Medium
56451027,Relay AC  Immune Plug in  type style-QBCA1,B2,S3,3367.77,2090.62,0.9,Smooth,High,Procurement Required,High
