Output_File,Source_File,Pipeline,Generated_By,Source_Pipeline
railway_demand_history.csv,railways.xlsx,Strategic,railway_data_preparation.py,Strategic
railway_sku_master.csv,railway_demand_history.csv,Strategic,railway_classification.py,Strategic
railway_forecast.csv,railway_demand_history.csv + railway_sku_master.csv,Strategic,railway_forecasting.py,Strategic
railway_inventory_policy.csv,railway_demand_history.csv + railway_sku_master.csv + railway_forecast.csv,Strategic,railway_inventory_optimization.py,Strategic
railway_abc_criticality_matrix.csv,railway_inventory_policy.csv,Strategic,railway_inventory_optimization.py,Strategic
railway_procurement_plan.csv,railway_inventory_policy.csv,Strategic,railway_inventory_optimization.py,Strategic
railway_data_quality.csv,railway_inventory_policy.csv + railways.xlsx(UDM),Strategic,railway_data_quality.py,Strategic
executive_kpi_summary.csv,sku_master + forecast + policy + data_quality,Derived,railway_executive_summary.py,Derived
executive_kpi_summary.json,sku_master + forecast + policy + data_quality,Derived,railway_executive_summary.py,Derived
executive_top10_procurement.csv,railway_inventory_policy.csv,Derived,railway_executive_summary.py,Derived
executive_top10_inventory_value.csv,railway_sku_master.csv,Derived,railway_executive_summary.py,Derived
executive_budget_scenario.csv,railway_procurement_plan.csv,Derived,railway_executive_summary.py,Derived
railway_operational_inventory.csv,railway_stock_summary.xlsx,Operational,railway_operational_analysis.py,Operational
operational_data_quality.csv,railway_stock_summary.xlsx,Operational,railway_operational_analysis.py,Operational
operational_top50_dead_stock.csv,railway_operational_inventory.csv,Operational,railway_operational_analysis.py,Operational
operational_top50_slow_moving.csv,railway_operational_inventory.csv,Operational,railway_operational_analysis.py,Operational
operational_top50_value.csv,railway_operational_inventory.csv,Operational,railway_operational_analysis.py,Operational
operational_top50_zero_stock.csv,railway_operational_inventory.csv,Operational,railway_operational_analysis.py,Operational
railway_inventory_rationalization.csv,sku_master + inventory_policy + operational_inventory,Derived,railway_inventory_rationalization.py,Derived
railway_rationalization_summary.csv,railway_inventory_rationalization.csv,Derived,railway_inventory_rationalization.py,Derived
powerbi/page0_executive_dashboard.csv,executive_kpi_summary + operational + forecast,Derived,railway_powerbi_export.py,Derived
powerbi/page1_procurement.csv,railway_inventory_policy.csv,Strategic,railway_powerbi_export.py,Strategic
powerbi/page2_forecasting.csv,railway_forecast.csv,Strategic,railway_powerbi_export.py,Strategic
powerbi/page3_criticality.csv,sku_master + forecast + policy,Strategic,railway_powerbi_export.py,Strategic
powerbi/page4_operational_health.csv,operational_inventory + op_inventory_summary,Operational,railway_powerbi_export.py,Operational
powerbi/page5_rationalization.csv,railway_inventory_rationalization.csv,Derived,railway_powerbi_export.py,Derived
powerbi/page6_data_quality.csv,railway_data_quality.csv,Strategic,railway_data_quality.py,Strategic
powerbi/page7_abc_criticality_matrix.csv,railway_abc_criticality_matrix.csv,Strategic,railway_powerbi_export.py,Strategic
powerbi/page8_budget_scenarios.csv,railway_inventory_policy.csv,Strategic,railway_powerbi_export.py,Strategic
powerbi/page9_management_actions.csv,railway_rationalization_summary.csv,Derived,railway_powerbi_export.py,Derived
powerbi/op_inventory_summary.csv,railway_operational_inventory.csv,Operational,railway_operational_analysis.py,Operational
powerbi/op_inventory_aging.csv,railway_operational_inventory.csv,Operational,railway_operational_analysis.py,Operational
powerbi/op_dead_stock.csv,railway_operational_inventory.csv,Operational,railway_operational_analysis.py,Operational
powerbi/op_inventory_value.csv,railway_operational_inventory.csv,Operational,railway_operational_analysis.py,Operational
powerbi/op_operational_abc.csv,railway_operational_inventory.csv,Operational,railway_operational_analysis.py,Operational
anylogistix/locations.csv,railway_config (divisions/depots),Derived,railway_anylogistix_export.py,Derived
anylogistix/products.csv,sku_master + forecast + policy,Strategic,railway_anylogistix_export.py,Strategic
anylogistix/demand.csv,railway_forecast.csv,Strategic,railway_anylogistix_export.py,Strategic
anylogistix/inventory_policy.csv,railway_inventory_policy.csv,Strategic,railway_anylogistix_export.py,Strategic
anylogistix/facilities.csv,operational_inventory + rationalization,Operational,railway_anylogistix_export.py,Operational
anylogistix/service_risk.csv,inventory_policy + forecast,Strategic,railway_anylogistix_export.py,Strategic
anylogistix/multi_echelon_candidates.csv,products (sku_master+policy),Strategic,railway_anylogistix_export.py,Strategic
anylogistix/procurement_scenarios.csv,page8_budget_scenarios.csv,Strategic,railway_anylogistix_export.py,Strategic
anylogistix/digital_twin_readiness.csv,locations + products + policy + demand,Derived,railway_anylogistix_export.py,Derived
