PL_Code,Description,Current_Stock,Unit,Unit_Cost,Inventory_Value,Last_Receipt_Date,Last_Issue_Date,Days_Since_Movement,Inventory_Aging_Class,Movement_Status,Inventory_Value_Band,Depot,Operational_ABC,Inventory_Domain,Business_Unit,Division,Snapshot_Date,Pipeline_Version
509041036045,ADOPTER FC 0 DB (0 DB CONNECTOR),3.0,Nos.,20.0,60.0,10-02-2022,30-05-2022,1469,Dead Stock,Dead Stock,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
502200280020,AUTO EXCHANGE INTERFACE EQUIPMENT,6.0,Nos.,3093.0,18558.0,10-02-2022,,1578,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
527900082614,ALPHA Charger for MOTOROLA Walkie Talkie Set,0.0,Nos.,1300.0,0.0,10-02-2022,11-03-2023,1184,Dead Stock,Dead Stock,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
539805559238,BOX 5T 20021 FOR (IRON)CABLE TERMINATION,4.0,Nos.,2600.0,10400.0,10-02-2022,,1578,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
505200020031,BELL PUSH,0.0,Nos.,30.0,0.0,10-02-2022,11-07-2023,1062,Dead Stock,Dead Stock,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
501803720020,BOOSTER TV,13.0,Nos.,2000.0,26000.0,10-02-2022,31-03-2022,1529,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
539816930024,Bitumen compound SPL,257.0,Kgs.,120.0,30840.0,10-02-2022,,1578,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
509040475288,POWER SUPPLY UNIT 2 AMPS WITH 12V/7AH BATTERY FOR WAY STATION CONTROL PHONE,30.0,Nos.,2911.06,87331.8,06-04-2026,06-06-2026,1,Active,Active,"Rs 10,000 - 1 Lakh",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
508312590024,BATTERY M/F 24V/7AH CHARGER,0.0,Nos.,2000.0,0.0,10-02-2022,30-12-2024,524,Very Slow Moving,Slow Moving,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
520500451223,BATTERY FOR WALKIE TALKIE GP68,71.0,Nos.,1180.0,83780.0,10-02-2022,,1578,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
396800140020,BATTERY 12V 42AH .,0.0,Nos.,3657.0,0.0,02-04-2022,25-07-2022,1413,Dead Stock,Dead Stock,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
509040374230,BATTERY MAINTENANCE FREE  12V/7AH,0.0,Nos.,753.0,0.0,02-07-2024,26-09-2024,619,Very Slow Moving,Slow Moving,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
539812630034,TSF KIT 4/6 Quad CABLE,0.0,Nos.,5002.31,0.0,11-10-2025,26-03-2026,73,Active,Active,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
539812630046,TSF 1 KIT FOR 10 PAIR / 20 PAIR PIJF UG CABLE,0.0,Nos.,849.6,0.0,10-02-2022,05-05-2023,1129,Dead Stock,Dead Stock,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
539812630058,TSF 2 KIT FOR 50 PAIR PAIJF UG CABLE,0.0,Nos.,1168.2,0.0,10-02-2022,13-03-2024,816,Dead Stock,Dead Stock,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
539812630060,TSF 3 KIT FOR 100 PAIR PIJF UG CABLE,0.0,Nos.,1545.8,0.0,10-02-2022,09-10-2023,972,Dead Stock,Dead Stock,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
539804082608,CT BOX 4 PAIR / 5 PAIR,4.0,Nos.,4500.0,18000.0,10-02-2022,,1578,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
50132600,CORD FLEXIBLE 4 WAY 1.5 MTS LONG TO ITI CODE NO.54217/A/1T1 MAKE TO SUIT TELEPHONE 601 TYP....,1130.0,Nos.,30.35,34295.5,10-02-2022,28-05-2026,10,Active,Active,"Rs 10,000 - 1 Lakh",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
503524320022,Line Card 4 way,0.0,Nos.,472.0,0.0,10-02-2022,08-05-2023,1126,Dead Stock,Dead Stock,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
503526680029,Cord 8 way,0.0,Nos.,413.0,0.0,10-02-2022,30-05-2022,1469,Dead Stock,Dead Stock,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
430800071030,CASE INNER METAL 20T,25.0,Nos.,8000.0,200000.0,18-02-2022,,1570,Dead Stock,Dead Stock,Rs 1 Lakh - 10 Lakh,SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
430800071042,CASE INNER METAL 5T JOINT,56.0,Nos.,3200.0,179200.0,18-02-2022,,1570,Dead Stock,Dead Stock,Rs 1 Lakh - 10 Lakh,SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
561199380148,CABLE UTP CAT6,0.0,MTR,22.9,0.0,09-08-2023,04-10-2023,977,Dead Stock,Dead Stock,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
529002070025,CABLE 3 CORE,0.0,MTR,70.0,0.0,10-02-2022,30-05-2022,1469,Dead Stock,Dead Stock,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
539805290020,CHARGER VRLA 230V / 24V,0.0,Nos.,2500.0,0.0,10-02-2022,07-02-2026,120,Monitor,Active,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
501000013450,CONTROL EQUIPMENT HQ,1.0,Nos.,17995.0,17995.0,14-02-2022,05-12-2022,1280,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
508313320053,SMPS Battery CHARGER 48V/25AMP(1+1),0.0,Nos.,68322.0,0.0,26-02-2025,08-04-2025,425,Very Slow Moving,Slow Moving,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
539846380026,Equipment Mounting Tray,0.0,Nos.,500.0,0.0,10-02-2022,01-07-2022,1437,Dead Stock,Dead Stock,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
500600571445,6 PIN EMERGENCY SOCKET,0.0,Nos.,500.0,0.0,21-12-2022,22-12-2022,1263,Dead Stock,Dead Stock,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
50210014,Emergency Socket Box made of FRP material AS PER Specn. No. RDSO/SPN/TC/44/2002. Ver.2 wit....,50.0,Nos.,4160.92,208046.0,31-03-2026,07-02-2026,68,Active,Active,Rs 1 Lakh - 10 Lakh,SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
527900443040,GENERATOR RINGING PUNCOM,0.0,Nos.,11000.0,0.0,20-03-2023,07-02-2026,120,Monitor,Active,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
527900062767,INVERTER 1 KVA,4.0,Nos.,17400.0,69600.0,10-02-2022,,1578,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
539802545800,JUMPER WIRE,3800.0,MTR,6.15,23370.0,07-02-2023,28-05-2026,10,Active,Active,"Rs 10,000 - 1 Lakh",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
529001730054,NETWORK BRANCHING HYBRID 4WIRE-6WAY.,7.0,Nos.,11741.0,82187.0,20-03-2023,,1175,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
509000404337,OFC JOINTING ENCLOSURE KIT 24 FIBRE,0.0,Nos.,1200.0,0.0,14-02-2024,02-11-2024,582,Very Slow Moving,Slow Moving,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
869019820032,PVC COUPLING 2 INCH,27.0,Nos.,125.0,3375.0,18-02-2022,,1570,Dead Stock,Dead Stock,"< Rs 10,000",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
527900442771,PUNCOM 2MB ETHERNET TME CARD,1.0,Nos.,39884.0,39884.0,12-02-2025,28-05-2026,10,Active,Active,"Rs 10,000 - 1 Lakh",SSET/SRM/PER027029-S AND T-SR,C,Railway_Operations,MAS,Chennai,2026-03-31,12.5.0
