Budget_Label,Budget_Rupees,Division,Allocated_Budget,PLs_Funded,SRRS_Mitigated,Risk_Reduction_Pct,Capital_Efficiency
Rs 1 Cr,10000000.0,MAS,6874001.45,20,2153798.36,20.6224,0.31332527
Rs 1 Cr,10000000.0,MDU,399491.5,20,506061.78,4.8455,1.26676482
Rs 1 Cr,10000000.0,PGT,219193.96,19,500943.32,4.7965,2.28538834
Rs 1 Cr,10000000.0,SA,1610273.84,22,507531.6,4.8596,0.31518341
Rs 1 Cr,10000000.0,TPJ,442241.73,21,507426.3,4.8586,1.14739579
Rs 1 Cr,10000000.0,TVC,442241.73,21,507426.3,4.8586,1.14739579
Rs 5 Cr,50000000.0,MAS,7244602.22,23,2160334.84,20.685,0.29819924
Rs 5 Cr,50000000.0,MDU,10181853.79,24,2160827.74,20.6897,0.21222341
Rs 5 Cr,50000000.0,PGT,9824733.62,23,2162596.4,20.7066,0.22011756
Rs 5 Cr,50000000.0,SA,7855058.74,24,2160757.16,20.689,0.27507842
Rs 5 Cr,50000000.0,TPJ,7142835.51,23,2160294.5,20.6846,0.30244215
Rs 5 Cr,50000000.0,TVC,7707505.74,23,2160703.66,20.6885,0.2803376
Rs 10 Cr,100000000.0,MAS,7244602.22,23,2160334.84,20.685,0.29819924
Rs 10 Cr,100000000.0,MDU,7855058.74,24,2160757.16,20.689,0.27507842
Rs 10 Cr,100000000.0,PGT,7097049.22,22,2160281.34,20.6845,0.30439148
Rs 10 Cr,100000000.0,SA,1052698.25,22,507848.62,4.8626,0.48242563
Rs 10 Cr,100000000.0,TPJ,38456758.4,25,5858209.72,56.0917,0.15233238
Rs 10 Cr,100000000.0,TVC,38263419.11,23,5858143.06,56.0911,0.15310036
Rs 25 Cr,250000000.0,MAS,38263419.11,23,5858143.06,56.0911,0.15310036
Rs 25 Cr,250000000.0,MDU,48128164.7,24,5899597.3,56.488,0.12258097
Rs 25 Cr,250000000.0,PGT,38263419.11,23,5858143.06,56.0911,0.15310036
Rs 25 Cr,250000000.0,SA,48738621.22,25,5900019.62,56.4921,0.1210543
Rs 25 Cr,250000000.0,TPJ,38309205.4,24,5858156.22,56.0912,0.15291772
Rs 25 Cr,250000000.0,TVC,38263419.11,23,5858143.06,56.0911,0.15310036
Rs 50 Cr,500000000.0,MAS,72231882.94,24,7494867.66,71.7626,0.10376121
Rs 50 Cr,500000000.0,MDU,96151548.55,25,8984592.82,86.0265,0.093442
Rs 50 Cr,500000000.0,PGT,96151548.55,25,8984592.82,86.0265,0.093442
Rs 50 Cr,500000000.0,SA,72231882.94,24,7494867.66,71.7626,0.10376121
Rs 50 Cr,500000000.0,TPJ,66435921.4,27,7348519.92,70.3613,0.11061064
Rs 50 Cr,500000000.0,TVC,96762005.07,26,8985015.14,86.0306,0.09285685
Rs 100 Cr,1000000000.0,MAS,165515584.07,29,9470962.84,90.6835,0.05722097
Rs 100 Cr,1000000000.0,MDU,165413817.36,29,9470922.5,90.6831,0.05725593
Rs 100 Cr,1000000000.0,PGT,169949237.95,29,9477600.74,90.747,0.05576724
Rs 100 Cr,1000000000.0,SA,165368031.07,28,9470909.34,90.6829,0.05727171
Rs 100 Cr,1000000000.0,TPJ,168351068.93,30,9471415.4,90.6878,0.05625991
Rs 100 Cr,1000000000.0,TVC,165368031.07,28,9470909.34,90.6829,0.05727171
Rs 200 Cr,2000000000.0,MAS,331473504.45,34,9993379.77,95.6855,0.03014835
Rs 200 Cr,2000000000.0,MDU,331427718.16,33,9993366.61,95.6854,0.03015248
Rs 200 Cr,2000000000.0,PGT,337684470.27,34,10007276.91,95.8186,0.02963499
Rs 200 Cr,2000000000.0,SA,331427718.16,33,9993366.61,95.6854,0.03015248
Rs 200 Cr,2000000000.0,TPJ,336498420.78,36,9995339.25,95.7043,0.02970397
Rs 200 Cr,2000000000.0,TVC,331473504.45,34,9993379.77,95.6855,0.03014835
Rs 500 Cr,5000000000.0,MAS,466976139.42,48,10219143.38,97.8472,0.02188365
Rs 500 Cr,5000000000.0,MDU,466976139.42,48,10219143.38,97.8472,0.02188365
Rs 500 Cr,5000000000.0,PGT,466976139.42,48,10219143.38,97.8472,0.02188365
Rs 500 Cr,5000000000.0,SA,1347055985.03,49,10289838.18,98.5241,0.00763876
Rs 500 Cr,5000000000.0,TPJ,466976139.42,48,10219143.38,97.8472,0.02188365
Rs 500 Cr,5000000000.0,TVC,1347055985.03,49,10289838.18,98.5241,0.00763876
Unlimited,,MAS,6606343723.14,50,10443980.48,100.0,0.0015809
Unlimited,,MDU,6606343723.14,50,10443980.48,100.0,0.0015809
Unlimited,,PGT,6606343723.14,50,10443980.48,100.0,0.0015809
Unlimited,,SA,6606343723.14,50,10443980.48,100.0,0.0015809
Unlimited,,TPJ,6606343723.14,50,10443980.48,100.0,0.0015809
Unlimited,,TVC,6606343723.14,50,10443980.48,100.0,0.0015809
