Section,KPI,Value
Section1_Strategic_Inventory_Overview,Total_SKUs,59
Section1_Strategic_Inventory_Overview,Total_Inventory_Value,662075255.38
Section1_Strategic_Inventory_Overview,Strategic_Inventory_Value_Normalized,85663635.52
Section1_Strategic_Inventory_Overview,Total_Annual_Issue_Value,161374751.65
Section1_Strategic_Inventory_Overview,Total_Forecast_2026_27,865125.51
Section1_Strategic_Inventory_Overview,Total_Current_Stock,313198.06
Section1_Strategic_Inventory_Overview,Average_Inventory_Coverage,0.632
Section2_Criticality_Exposure,S1_Item_Count,13
Section2_Criticality_Exposure,S2_Item_Count,14
Section2_Criticality_Exposure,S3_Item_Count,17
Section2_Criticality_Exposure,S4_Item_Count,15
Section2_Criticality_Exposure,Safety_Item_Count,13
Section2_Criticality_Exposure,Vital_Item_Count,14
Section2_Criticality_Exposure,Inventory_Value_S1,625929043.19
Section2_Criticality_Exposure,Inventory_Value_S2,28783355.95
Section2_Criticality_Exposure,Inventory_Value_S3,6253234.94
Section2_Criticality_Exposure,Inventory_Value_S4,1109621.3
Section3_Procurement_Exposure,Procurement_Required_Items,50
Section3_Procurement_Exposure,Sufficient_Items,9
Section3_Procurement_Exposure,Total_Investment_Required,6606343723.14
Section3_Procurement_Exposure,Total_Normalized_Investment_Required,473115370.05
Section3_Procurement_Exposure,Average_Inventory_Gap,13941.03
Section3_Procurement_Exposure,Maximum_Inventory_Gap,270940.54
Section4_Forecasting,Smooth_Items,30
Section4_Forecasting,Intermittent_Items,7
Section4_Forecasting,Erratic_Items,7
Section4_Forecasting,Lumpy_Items,1
Section4_Forecasting,Dead_Items,14
Section4_Forecasting,High_Confidence_Forecasts,22
Section4_Forecasting,Medium_Confidence_Forecasts,15
Section4_Forecasting,Low_Confidence_Forecasts,8
Section4_Forecasting,Very_Low_Confidence_Forecasts,14
Section5_Data_Quality,Flagged_SKUs,2
Section5_Data_Quality,Original_Investment_Required,6606343723.14
Section5_Data_Quality,Normalized_Investment_Required,473115370.05
Section5_Data_Quality,Data_Quality_Impact,6133228353.09
Section5_Data_Quality,Original_Concentration_Index,96.97
Section5_Data_Quality,Normalized_Concentration_Index,82.42
Section_Management_Insights,Management_Insight_1,50 of 59 strategic signalling items require procurement.
Section_Management_Insights,Management_Insight_2,S1 (track-safety) items account for 55.0% of normalized procurement exposure.
Section_Management_Insights,Management_Insight_3,Only 2 data-quality anomalies inflated investment estimates by Rs 613 Cr.
Section_Management_Insights,Management_Insight_4,Top 10 SKUs account for 82% of (unit-normalized) inventory value.
