PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
570149350083,Video Face Recognition Software (VFRS)(per camera basis) for Video FRS server as per RDSO ....,110.0,12980000.0,379,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
539804450166,FULL HD FIXED BULLET TYPE IP COLOUR CAMERA,475.0,10499238.98,653,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
570153210454,TV 55 LED UHD smart SONY FW-55BZ40L,68.0,9180000.0,682,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
520508600072,All-Weather Compact 2-Way Coaxial Loudspeaker with 8 LF JBL#AWC82,98.0,7840000.0,411,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
520508600175,"All-Weather Compact 2-Way Coaxial Loudspeaker with 8 LF JBL#AWC82 FOR SS RAIL WORK AT PER,....",104.0,6795202.96,424,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
570104060134,"TV 55 LED UHD smart Samsung FOR SS RAIL WORK AT PER,ABU,TRL STN",53.0,6625000.0,682,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
560631570013,RS232 serial communication to optical fiber media converter,68.0,6256000.0,429,Very Slow Moving,SSE/SRM/TVC057253-S AND T-SR
539800493572,"MS sheet box of 3mm thick to accommodate 55 inch LED TV, 12F FMS, 5/15A power socket termi....",263.0,6238514.64,198,Slow Moving,SSET/SRM/PER027029-S AND T-SR
509048210051,FULL HD PTZ TYPE IP COLOUR CAMERA,70.0,5366351.34,653,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
539811950460,Central Data Controller Unit (CDC) along with CDS conforming to system requirement as per....,12.0,5214630.23,207,Slow Moving,SSET/SRM/PER027029-S AND T-SR
527900510740,Single line Double face Train Arrival/Departure display board (TADDB),14.0,5040000.0,411,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
527905800320,"True color Outdoor Video Display (OVD) FOR SS RAIL WORK AT PER,ABU,TRL STN",2.0,4861466.66,682,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
560411020012,HASSDAC EQUIPMENT GG TRONICS MAKE,8.0,4724890.34,467,Very Slow Moving,SSE/SRM/TVC057253-S AND T-SR
539817170141,SCH B-19 External Storage System (CP-PLUS CP-UVS-G24R-J) for 30 days recording at station/....,920.0,4554000.0,204,Slow Moving,SSET/SRM/PER027029-S AND T-SR
520508600102,All-Weather Compact 2-Way Coaxial Loudspeaker with 8 LF JBL#AWC82 FOR SURYA ELECTRONICS IP....,56.0,3658955.44,545,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
567900828144,MINI IPS(INTEGRATED POWER SUPPLY) MAKE:-  STATCON,4.0,3598959.88,268,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
570106480059,TV 55 LED UHD smart Samsung FOR SS RAIL WORK AT JTJ STN,25.0,3125000.0,649,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
56010011,BLOCK INSTT DOUBLE LINE,20.0,3065243.8,236,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539801396525,TV 55 Inch (24x7) Industrial grade Commercial Large format display Samsung LH55QHCEGCXXL F....,24.0,3000000.0,437,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
539829440016,CEL MSDAC Center Eveluter unit,6.0,3000000.0,253,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
527900045289,"Four Channel Digital Power Amplifier, 1200W@ 4 Ohms  Crown#NCDI4X12BL-U-EU",11.0,2860000.0,411,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
56509959,Cable 12 C  X  1.5 sqmm,11385.0,2817710.08,262,Slow Moving,SSE/SRM/TVC057253-S AND T-SR
539829490019,CEL MSDAC PDCU,54.0,2700000.0,253,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539868290125,UFSBI BLOCK INSRTUMENT WITH OUT QN1 RELAYS,3.0,2606088.0,290,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
