PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
570110870468,Sch-A-04 eTSR SOFTWARE FOR EACH STATIONS for by Automated Train signal register (e-TSR) So....,197.0,52823383.0,94,Monitor,SSET/SRM/PER027029-S AND T-SR
570101228630,SCH B-24 UPS 15KVA on-line UPS (Single phase) floor mountable type with 1 hr back up time ....,9.0,24751638.18,158,Monitor,SSET/SRM/PER027029-S AND T-SR
56500142,RELAY QNA1 ACI 8F/8B,2263.0,22885046.89,2,Active,SSE/S/SRM/TPJ077355-S AND T-SR
539801669177,SMPS based IPS for LC gate (Amara raja),13.0,14820000.0,31,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
520502281606,SCH B-15 VMS-Video Management server/VAS-Video Analytics Server/FRS-Video Face Recognition....,30.0,13906824.0,15,Active,SSET/SRM/PER027029-S AND T-SR
570149350083,Video Face Recognition Software (VFRS)(per camera basis) for Video FRS server as per RDSO ....,110.0,12980000.0,379,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
56501006,CABLE 24 CX 1.5 SQMM,28351.0,12616195.0,45,Active,SSE/SRM/TVC057253-S AND T-SR
565199410379,Sch-A-06 eTSR SOFTWARE AT CENTRAL PLACE UP TO 20 STATIONS for by Automated Train signal re....,12.0,12351732.0,94,Monitor,SSET/SRM/PER027029-S AND T-SR
570149350046,VIDEO FACE RECOGNITION SOFTWARE FOR VIDEO FRS SERVER FOR VSS REACH2 WORK,68.0,10630644.0,776,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539804450166,FULL HD FIXED BULLET TYPE IP COLOUR CAMERA,475.0,10499238.98,653,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
539804978914,TV 55 LED UHD smart  SAMSUNG  QH55C,105.0,9685217.64,93,Monitor,SSET/SRM/PER027029-S AND T-SR
570153210454,TV 55 LED UHD smart SONY FW-55BZ40L,68.0,9180000.0,682,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
502200630160,True color Indoor Video Display (IVD) with its mechanical structure of Pixel Resolution (W....,4.0,8800000.0,796,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539812211300,Double Faced Coach Guidance Display Boards (CGDB),192.0,8448000.0,32,Active,SSET/SRM/PER027029-S AND T-SR
539829430011,CEL MSDAC Field unit,21.0,8400000.0,23,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56501018,CABLE 30 C X 1.5 SQ.MM,14949.0,8192052.0,45,Active,SSE/SRM/TVC057253-S AND T-SR
561195900010,CABLE 6 QUAD JELLY FILLED.,24461.0,8176190.0,120,Monitor,SSE/SRM/TVC057253-S AND T-SR
56468040,"GREENaspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatible ....",850.0,8118961.99,87,Active,SSE/S/SRM/TPJ077355-S AND T-SR
54900530,EOLB COMPONENT consists of (A) All Gear Drive Mechanism for Electric Lifting Barrier to Dr....,17.0,8071962.92,13,Active,SSE/S/SRM/TPJ077355-S AND T-SR
560604185631,EMERGENCY SLIDING BOOM ASSEMBLY WITH ALL ACCESSORIES,33.0,7917401.25,13,Active,SSE/S/SRM/TPJ077355-S AND T-SR
520508600072,All-Weather Compact 2-Way Coaxial Loudspeaker with 8 LF JBL#AWC82,98.0,7840000.0,411,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
56468039,"RED aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatible w....",873.0,7470306.09,87,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56509959,CABLE PVC 12 CX 1.5 SQMM,29676.0,7227797.53,125,Monitor,SSE/SRM/TVC057253-S AND T-SR
561195900010,CABLE 6 QUAD JELLY FILLED.,21949.0,7163451.23,11,Active,SSE/SRM/TVC057253-S AND T-SR
520508600175,"All-Weather Compact 2-Way Coaxial Loudspeaker with 8 LF JBL#AWC82 FOR SS RAIL WORK AT PER,....",104.0,6795202.96,424,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
527905800227,True color Outdoor Video Display (OVD) of Pixel Resolution (WxH) 432x128 (6-line single fa....,2.0,6700000.0,796,Dead Stock,SSET/SRM/PER027029-S AND T-SR
570104060134,"TV 55 LED UHD smart Samsung FOR SS RAIL WORK AT PER,ABU,TRL STN",53.0,6625000.0,682,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
527900510739,Platform Display Boards (PDB) (Double Line) (Single Face) (Colour of LED: White),29.0,6532917.09,149,Monitor,SSET/SRM/PER027029-S AND T-SR
561195734699,PVC insulated Cable 24 Core x 1.5 sq mm,16479.0,6396323.85,2,Active,JE/SIG/SRM/PGT037254-S AND T-SR
521566390272,VMS-Video Management server/VAS-Video Analytics Server/FRS-Video Face Recognition Server i....,15.0,6323400.0,177,Monitor,SSET/SRM/PER027029-S AND T-SR
539812211311,"Double Faced Coach Guidance Display Boards (CGDB) FOR SS RAIL WORK AT PER,ABU,TRL STN",166.0,6299289.98,775,Dead Stock,SSET/SRM/PER027029-S AND T-SR
565172848313,"SCH B-03 server (NETBYTES SRS5) as per clause no.10.1.1.3,10.1.2,10.1.3 Hardware to suppor....",17.0,6290816.0,73,Active,SSET/SRM/PER027029-S AND T-SR
560631570013,RS232 serial communication to optical fiber media converter,68.0,6256000.0,429,Very Slow Moving,SSE/SRM/TVC057253-S AND T-SR
539800493572,"MS sheet box of 3mm thick to accommodate 55 inch LED TV, 12F FMS, 5/15A power socket termi....",263.0,6238514.64,198,Slow Moving,SSET/SRM/PER027029-S AND T-SR
539812211293,Double Faced Coach Guidance Display Boards as per RDSO Specification No. RDSO/SPN/TC/108/2....,156.0,6084000.0,815,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539896950525,CLS Unit 2 Aspect FRP,317.0,5642232.28,15,Active,JE/SIG/SRM/PGT037254-S AND T-SR
