PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
79511740,WASTE COTTON COLOURED TO IS 5485/80 OR LATEST.,0.0,0.0,1972,Dead Stock,SSE/SRM/SIG/MDU087221-S AND T-SR
52156576,BATTERY CHARGER 230V AC 110V DC 30 AMPS SPECN.No.IRS-S-86/2000 WITH AMENDMENT - 4. OR LATE....,0.0,0.0,1971,Dead Stock,SSE/SRM/SIG/MDU087221-S AND T-SR
567900910018,PPTC Fuse 4 Amps,0.0,0.0,1969,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
83041849,PAPER CARBON PENCIL 20.5 X 33 CM BLUE COLOUR SIMILAR TO KORES SAPPHIRE BRAND IS. 3450/1976....,0.0,0.0,1969,Dead Stock,SSE/SRM/SIG/MDU087221-S AND T-SR
567900920012,PPTC Fuse 6 Amps,0.0,0.0,1969,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
565199170010,ND Fuse 4 Amps,0.0,0.0,1937,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
72010058,High speed steel hand hack saw blades to size 300mm x 12.5mm x 0.63 x 14 TPI (teeth per in....,0.0,0.0,1934,Dead Stock,SSE/SRM/SIG/MDU087221-S AND T-SR
71010324,BRUSHES PAINT and VARNISH FLAT SIZE 12 MM TO IS: 384(part -1) ;2012(or) LATEST AND BRISTLE....,0.0,0.0,1934,Dead Stock,SSE/SRM/SIG/MDU087221-S AND T-SR
80010295,"INTERNAL COMBUSTION ENGINE CRANK CASE OILS - Gr. SAE-40 TO IS: 13656/2002, TYPE EDL-2 (API....",0.0,0.0,1934,Dead Stock,SSE/SRM/SIG/MDU087221-S AND T-SR
71010336,"BRUSHES, PAINTS & VARNISHES, FLAT, SIZE 25mm OF VULCANIZED RUBBER SETTING TYPE TO SPECN.IS....",0.0,0.0,1934,Dead Stock,SSE/SRM/SIG/MDU087221-S AND T-SR
81033515,NAPTHALENE WHITE BALLS PACKED IN POLYTHENE BAGS TO CONTAIN 250 GRAMS TO SPECN.539/1965 OR ....,0.0,0.0,1934,Dead Stock,SSE/SRM/SIG/MDU087221-S AND T-SR
539807260017,Relay QNA1K 6F-6B (1000 Ohms),0.0,0.0,1874,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539801820013,Point CT Box ( Iron ),0.0,0.0,1874,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539812740010,TX COIL AMPLITUDE,0.0,0.0,1839,Dead Stock,SSE/SRM/SIG/MDU087221-S AND T-SR
