PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Depot
570149350046,VIDEO FACE RECOGNITION SOFTWARE FOR VIDEO FRS SERVER FOR VSS REACH2 WORK,68.0,10630644.0,776,SSET/SRM/PER027029-S AND T-SR
502200630160,True color Indoor Video Display (IVD) with its mechanical structure of Pixel Resolution (W....,4.0,8800000.0,796,SSET/SRM/PER027029-S AND T-SR
527905800227,True color Outdoor Video Display (OVD) of Pixel Resolution (WxH) 432x128 (6-line single fa....,2.0,6700000.0,796,SSET/SRM/PER027029-S AND T-SR
539812211311,"Double Faced Coach Guidance Display Boards (CGDB) FOR SS RAIL WORK AT PER,ABU,TRL STN",166.0,6299289.98,775,SSET/SRM/PER027029-S AND T-SR
539812211293,Double Faced Coach Guidance Display Boards as per RDSO Specification No. RDSO/SPN/TC/108/2....,156.0,6084000.0,815,SSET/SRM/PER027029-S AND T-SR
539812211323,Double Faced Coach Guidance Display Boards (CGDB) FOR SS RAIL WORK AT JTJ STN,143.0,5426496.79,774,SSET/SRM/PER027029-S AND T-SR
539811950379,Central Data Controller Unit (CDC) along with CDS conforming to system requirement,5.0,3750000.0,796,SSET/SRM/PER027029-S AND T-SR
527905800240,True color Outdoor Video Display (OVD) of Pixel Resolution (WxH) 432x128 (6-line single fa....,1.0,3400000.0,793,SSET/SRM/PER027029-S AND T-SR
561300051261,UFSBI Deltron make,3.0,3150000.0,1111,SSE/SRM/TVC057253-S AND T-SR
527900510788,Single line Double face Train Arrival/Departure display board (TADDB) FOR SS RAIL WORK AT ....,13.0,2758688.4,775,SSET/SRM/PER027029-S AND T-SR
539802259141,4K UHD bullet type IP colour camera (TYPE A),74.0,2719366.0,856,SSET/SRM/PER027029-S AND T-SR
529002520109,Double Faced Coach Guidance Display Boards (CGDB),52.0,2236000.0,796,SSET/SRM/PER027029-S AND T-SR
527900045265,"Four Channel Digital Power Amplifier, 1200W@ 4 Ohms  Crown#NCDI4X12BL-U-EU",8.0,2200000.0,790,SSET/SRM/PER027029-S AND T-SR
539823790017,EMERGENCY PANEL FOR ELECTRONIC INTERLOCKING,6.0,2191230.0,1801,JE/SIG/SRM/PGT037254-S AND T-SR
549900290300,Train information At a Glance Display Board (Double faced) with all accessories as per RDS....,8.0,2149440.0,815,SSET/SRM/PER027029-S AND T-SR
528700380045,All-Weather Compact 2-Way Coaxial Loudspeaker with 6.5 LF JBL AWC62,30.0,1800000.0,780,SSET/SRM/PER027029-S AND T-SR
570102028582,FULL HD FIXED DOME TYPE IP COLOUR CAMERA,74.0,1707588.04,789,SSET/SRM/PER027029-S AND T-SR
539821491369,Daisy chain junction box for running on OFC and Ethernet copper (DCJB) FOR SS RAIL WORK AT....,166.0,1277967.6,774,SSET/SRM/PER027029-S AND T-SR
539813330230,RMS SERVER WITH RMS SOFTWARE,5.0,1100000.0,796,SSET/SRM/PER027029-S AND T-SR
567904138020,SMPS Based IPS for LC Gate,1.0,1082146.75,754,SSE/SRM/TVC057253-S AND T-SR
539848730107,SMS ALERT SYSTEMS IN FAILURE TIME,50.0,1023000.0,1175,SSET/SRM/PER027029-S AND T-SR
549900290312,At a Glance Display Board (Double faced) with all accessories,4.0,940000.0,812,SSET/SRM/PER027029-S AND T-SR
549007230018,GROUND LEVER 1 WAY,77.0,924000.0,1320,SSE/SRM/TVC057253-S AND T-SR
549900290350,At a Glance Display Board Double faced (AGDB) with all accessories FOR SS RAIL WORK AT JTJ....,3.0,806042.85,774,SSET/SRM/PER027029-S AND T-SR
