PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe
509041036045,ADOPTER FC 0 DB (0 DB CONNECTOR),Dead Stock,Dead Stock,60.0,C,Operational
502200280020,AUTO EXCHANGE INTERFACE EQUIPMENT,Dead Stock,Dead Stock,18558.0,C,Operational
527900082614,ALPHA Charger for MOTOROLA Walkie Talkie Set,Dead Stock,Dead Stock,0.0,C,Operational
539805559238,BOX 5T 20021 FOR (IRON)CABLE TERMINATION,Dead Stock,Dead Stock,10400.0,C,Operational
505200020031,BELL PUSH,Dead Stock,Dead Stock,0.0,C,Operational
501803720020,BOOSTER TV,Dead Stock,Dead Stock,26000.0,C,Operational
539816930024,Bitumen compound SPL,Dead Stock,Dead Stock,30840.0,C,Operational
509040475288,POWER SUPPLY UNIT 2 AMPS WITH 12V/7AH BATTERY FOR WAY STATION CONTROL PHONE,Active,Active,87331.8,C,Operational
508312590024,BATTERY M/F 24V/7AH CHARGER,Slow Moving,Very Slow Moving,0.0,C,Operational
520500451223,BATTERY FOR WALKIE TALKIE GP68,Dead Stock,Dead Stock,83780.0,C,Operational
396800140020,BATTERY 12V 42AH .,Dead Stock,Dead Stock,0.0,C,Operational
509040374230,BATTERY MAINTENANCE FREE  12V/7AH,Slow Moving,Very Slow Moving,0.0,C,Operational
539812630034,TSF KIT 4/6 Quad CABLE,Active,Active,0.0,C,Operational
539812630046,TSF 1 KIT FOR 10 PAIR / 20 PAIR PIJF UG CABLE,Dead Stock,Dead Stock,0.0,C,Operational
539812630058,TSF 2 KIT FOR 50 PAIR PAIJF UG CABLE,Dead Stock,Dead Stock,0.0,C,Operational
539812630060,TSF 3 KIT FOR 100 PAIR PIJF UG CABLE,Dead Stock,Dead Stock,0.0,C,Operational
539804082608,CT BOX 4 PAIR / 5 PAIR,Dead Stock,Dead Stock,18000.0,C,Operational
50132600,CORD FLEXIBLE 4 WAY 1.5 MTS LONG TO ITI CODE NO.54217/A/1T1 MAKE TO SUIT TELEPHONE 601 TYP....,Active,Active,34295.5,C,Operational
503524320022,Line Card 4 way,Dead Stock,Dead Stock,0.0,C,Operational
503526680029,Cord 8 way,Dead Stock,Dead Stock,0.0,C,Operational
430800071030,CASE INNER METAL 20T,Dead Stock,Dead Stock,200000.0,C,Operational
430800071042,CASE INNER METAL 5T JOINT,Dead Stock,Dead Stock,179200.0,C,Operational
561199380148,CABLE UTP CAT6,Dead Stock,Dead Stock,0.0,C,Operational
529002070025,CABLE 3 CORE,Dead Stock,Dead Stock,0.0,C,Operational
539805290020,CHARGER VRLA 230V / 24V,Active,Monitor,0.0,C,Operational
501000013450,CONTROL EQUIPMENT HQ,Dead Stock,Dead Stock,17995.0,C,Operational
508313320053,SMPS Battery CHARGER 48V/25AMP(1+1),Slow Moving,Very Slow Moving,0.0,C,Operational
539846380026,Equipment Mounting Tray,Dead Stock,Dead Stock,0.0,C,Operational
500600571445,6 PIN EMERGENCY SOCKET,Dead Stock,Dead Stock,0.0,C,Operational
50210014,Emergency Socket Box made of FRP material AS PER Specn. No. RDSO/SPN/TC/44/2002. Ver.2 wit....,Active,Active,208046.0,C,Operational
50210014,Emergency Socket Box made of FRP material AS PER Specn. No. RDSO/SPN/TC/44/2002. Ver.2 wit....,Active,Active,208046.0,B,Operational
527900443040,GENERATOR RINGING PUNCOM,Active,Monitor,0.0,C,Operational
527900062767,INVERTER 1 KVA,Dead Stock,Dead Stock,69600.0,C,Operational
539802545800,JUMPER WIRE,Active,Active,23370.0,C,Operational
529001730054,NETWORK BRANCHING HYBRID 4WIRE-6WAY.,Dead Stock,Dead Stock,82187.0,C,Operational
509000404337,OFC JOINTING ENCLOSURE KIT 24 FIBRE,Slow Moving,Very Slow Moving,0.0,C,Operational
869019820032,PVC COUPLING 2 INCH,Dead Stock,Dead Stock,3375.0,C,Operational
527900442771,PUNCOM 2MB ETHERNET TME CARD,Active,Active,39884.0,C,Operational
501027730029,PUNCOM LPC CARD,Active,Monitor,0.0,C,Operational
509000146221,PUNCOM SUBSCRIBER INTERFACE CARD / FXS Card,Active,Active,372161.02,B,Operational
509000146233,PUNCOM EXCHANGE INTERFACE/ FXO Card,Active,Active,550470.0,B,Operational
509000166232,PUNCOM E&M INTERFACE Card,Slow Moving,Slow Moving,1078191.54,B,Operational
501027710020,PUNCOM POWER SUPPLY - PSU CARD,Slow Moving,Slow Moving,0.0,C,Operational
501800331830,ROSETTE SINGLE WAY,Dead Stock,Dead Stock,0.0,C,Operational
501800331842,ROSETTE 2 WAY,Slow Moving,Very Slow Moving,0.0,C,Operational
91150401,SOLDER CORED RESIN FILLED (FOR INSTRUMENTS COILS) TO SPECN. BSS 441 OF 1932 ACTIVATED NON ....,Active,Active,0.0,C,Operational
91150401,SOLDER CORED RESIN FILLED (FOR INSTRUMENTS COILS) TO SPECN. BSS 441 OF 1932 ACTIVATED NON ....,Active,Active,0.0,C,Operational
91150401,SOLDER CORED RESIN FILLED (FOR INSTRUMENTS COILS) TO SPECN. BSS 441 OF 1932 ACTIVATED NON ....,Active,Active,0.0,C,Operational
91150401,SOLDER CORED RESIN FILLED (FOR INSTRUMENTS COILS) TO SPECN. BSS 441 OF 1932 ACTIVATED NON ....,Active,Active,0.0,C,Operational
91150401,SOLDER CORED RESIN FILLED (FOR INSTRUMENTS COILS) TO SPECN. BSS 441 OF 1932 ACTIVATED NON ....,Active,Active,0.0,C,Operational
549005791396,SOLDER SOFT  A-GRADE,Dead Stock,Dead Stock,16800.0,C,Operational
41095066,"PRESSURE SENSITIVE ADHESIVE (PVC) TAPE FOR ELECTRICAL PURPOSED FLAME RETARDANT, THICKNESS ....",Active,Active,4902.55,C,Operational
41095066,"PRESSURE SENSITIVE ADHESIVE (PVC) TAPE FOR ELECTRICAL PURPOSED FLAME RETARDANT, THICKNESS ....",Active,Active,4902.55,C,Operational
41095066,"PRESSURE SENSITIVE ADHESIVE (PVC) TAPE FOR ELECTRICAL PURPOSED FLAME RETARDANT, THICKNESS ....",Active,Active,4902.55,B,Operational
41095066,"PRESSURE SENSITIVE ADHESIVE (PVC) TAPE FOR ELECTRICAL PURPOSED FLAME RETARDANT, THICKNESS ....",Active,Active,4902.55,C,Operational
50353603,LIGHT WEIGHT PORTABLE CONTROL TELEPHONE TO SPECN. NO.IRS.TC-78/2000 with Amendment-1..,Active,Active,43819.83,C,Operational
50353603,LIGHT WEIGHT PORTABLE CONTROL TELEPHONE TO SPECN. NO.IRS.TC-78/2000 with Amendment-1..,Active,Active,43819.83,C,Operational
50370110,4 WIRE WAY STATION CONTROL TELEPHONE SPECN.NO.IRS:TC-38/97.(Amendment No.1),Active,Active,73005.95,C,Operational
50370110,4 WIRE WAY STATION CONTROL TELEPHONE SPECN.NO.IRS:TC-38/97.(Amendment No.1),Active,Active,73005.95,C,Operational
503525160026,CONTROL TELEPHONE 2 WIRE,Dead Stock,Dead Stock,0.0,C,Operational
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/9....,Active,Active,0.0,C,Operational
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/9....,Active,Active,0.0,C,Operational
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/9....,Active,Active,0.0,A,Operational
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/9....,Active,Active,0.0,B,Operational
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/9....,Active,Active,0.0,B,Operational
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/9....,Active,Active,0.0,B,Operational
50231881,ELECTRONIC PUSH BUTTON TELEPHONE (EPBT) CONFIRMING TO TEC SPECN G.R NO: GR/TEL-02/04 SEP02....,Active,Active,34983.0,C,Operational
